Cd2gFdFQKuc|Child: Dad, make me a sandwich. Dad: Poof! You're a sandwich.
ysHQZvcpbFd|"Dad, I'm hungry." Hello, Hungry. I'm Dad.
sPRnOfiyAAd|At the boxing match, the dad got into the popcorn line and the line for hot dogs, but he wanted to stay out of the punchline.
ljGB5o49Elb|Dad, can you put my shoes on? I don't think they'll fit me.
sPfqWDlq4Ed|"Hey, dad, did you get a haircut?" "No, I got them all cut."
ItWLR792Ed|"I'll call you later." Don't call me later, call me Dad.
8USSSfVn3ob|I've been trying to come up with a dad joke about momentum . . . but I just can't seem to get it going.
82TnORSK6wc|Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, ‘No, just leave it in the carton!’
Xny5MZvHQCd|Can I watch the TV? Dad: Yes, but don’t turn it on.
IRKJBQ7p4wc| I never wanted to believe that my Dad was stealing from his job as a road worker. But when I got home, all the signs were there.


eVKRZTKeiib|A man is washing the car with his son. The son asks...... "Dad, can’t you just use a sponge?"
vX8MeFdUDlb|Dad died because he couldn't remember his blood type. I will never forget his last words. Be positive.
Yg3orWS7wkb|"I'm sorry." "Hi sorry, I'm dad"
2118E69prc|Dad I’m hungry’ … ‘Hi hungry I’m dad
BAdU0DAlVvc|What do you call a dad that has fallen through the ice? A Popsicle.
i39hqWnGljb|When Dad drops a pea off of his plate ‘oh dear I’ve pee’d on the table!
9hyAsrzAItc|Where’s the bin? Dad: I haven’t been anywhere!
fiyPR7wPZDd|When does a joke become a dad joke? When it becomes apparent.
CYvsHtWDAlb|"Dad, I'm cold."
"Go stand in the corner, I hear it's 90 degrees."
ei3T08EQZob|Hostess: Do you have a preference of where you sit?
Dad: Down.
